Tarih;Takım 1 ;Takım 2;Takım 1 Topla Oynama;takım 2 topla oynama;takım 1 gol girişimi;takım 2 gol girişimi;Takım 1 Şut;Takım 2 Şut;takım 1 faul;takım 2 faul;takım 1 korner;takım 2 korner;takım 1 frikik;takım 2 frikik;takım 1 ofsayt;takım 2 ofsayt;takım 1 taç atışı;takım 2 taç atışı;takım 1 sarı akrt;takım 2 sarı kart;takım 1 kırmızı kart;takım 2 kırmızı kart;DOLAR Şimdi;dolar açılış;dolar fark;Euro şimdi;euro açılış;euro fark;Lig Sıralama;Puan;bist100 şimdi;bist100 açılış;bist100 fark;takım hissesi şimdi;takım hissesi açılış;takım hissesi fark
6.08.2022 00:00;2;5;0,56;0,44;18;5;12;3;23;13;9;4;14;24;1;1;22;14;3;1;1;1;17,9363;17,9105;0,13;18,3951;18,2394;0,0088;5;3;2864,25;2759,43;0,0414;5,06;4,77;1
7.08.2022 00:00;5;1;0,54;0,46;10;11;9;9;16;14;1;6;16;16;0;2;23;19;2;4;0;0;17,9363;17,9105;0,13;18,3951;18,2394;0,0088;6;3;2864,25;2759,43;0,0414;3,58;2,44;1
8.08.2022 00:00;3;5;0,52;0,48;16;9;14;12;14;12;5;5;14;15;1;2;32;23;7;2;0;0;18,087;17,9294;0,84;18,1465;18,3986;-0,0135;7;1;3020,2;2875,37;0,0544;55,9;52,8;1
13.08.2022 00:00;1;5;0,65;0,35;14;6;11;6;7;10;10;3;12;10;3;2;20;24;3;2;0;0;18,087;17,9294;0,84;18,1465;18,3986;-0,0135;8;6;3020,2;2875,37;0,0544;3,33;3,22;0
14.08.2022 00:00;5;2;0,76;0,24;13;6;11;5;21;17;12;1;20;21;0;3;17;6;3;3;0;1;18,087;17,9294;0,84;18,1465;18,3986;-0,0135;5;3;3020,2;2875,37;0,0544;5,86;5,07;1
15.08.2022 00:00;5;4;0,35;0,65;4;0;29;3;18;10;2;8;11;21;3;1;12;15;3;1;1;0;18,1629;18,0953;0,42;18,0725;18,1458;-0,0041;3;4;3146,1;3017,82;0,0417;61,5;55,9;1
21.08.2022 00:00;2;5;0,47;0,53;18;8;15;6;19;7;6;3;8;21;2;1;15;23;3;3;0;0;18,1629;18,0953;0,42;18,0725;18,1458;-0,0041;6;4;3146,1;3017,82;0,0417;6,95;6,26;1
22.08.2022 00:00;3;5;0,47;0,53;12;21;20;11;15;13;2;2;17;16;1;4;17;21;3;4;0;1;18,2007;18,1827;0,21;18,0886;18,1329;0,0009;1;7;3222,74;3145,17;0,0244;60,75;62,4;0
28.08.2022 00:00;5;1;0,42;0,58;10;11;8;9;18;16;2;5;22;19;1;6;24;18;3;2;0;0;18,2007;18,1827;0,21;18,0886;18,1329;0,0009;7;7;3222,74;3145,17;0,0244;3,29;3,1;1
29.08.2022 00:00;5;3;0,53;0,47;5;8;9;5;8;4;4;2;5;16;8;1;19;19;3;0;1;1;18,2364;18,1951;0,2;18,3045;18,1116;0,0119;5;7;3521,38;3247,88;0,0927;56,45;60,75;0
29.08.2022 00:00;2;5;0,62;0,38;18;4;14;4;13;15;5;4;16;15;2;1;12;24;0;2;0;0;18,2007;18,1827;0,21;18,0886;18,1329;0,0009;3;7;3222,74;3145,17;0,0244;8,49;7,03;1
